timestamp,open,high,low,close,volume
2026-03-04 09:00:00,89.69,91.48,89.18,90.5,3910698.36
2026-03-04 10:00:00,90.51,91.04,89.84,90.12,2394608.85
2026-03-04 11:00:00,90.12,90.62,89.36,89.73,1542305.04
2026-03-04 12:00:00,89.74,89.83,88.66,89.39,1530454.87
2026-03-04 13:00:00,89.39,90.14,89.26,89.94,1329710.96
2026-03-04 14:00:00,89.93,91.72,89.41,90.13,3318619.75
2026-03-04 15:00:00,90.12,93.12,90.09,92.88,3788559.24
2026-03-04 16:00:00,92.89,93.1,90.9,91.47,2532225.72
2026-03-04 17:00:00,91.47,92.19,90.57,91.49,1730330.36
2026-03-04 18:00:00,91.49,92.45,91.06,92.32,979910.74
2026-03-04 19:00:00,92.33,94.15,92.23,93.14,2309306.54
2026-03-04 20:00:00,93.13,93.73,92.64,92.81,1414915.52
2026-03-04 21:00:00,92.81,92.94,92.11,92.29,1002041.7
2026-03-04 22:00:00,92.3,92.83,91.13,91.28,958856.65
2026-03-04 23:00:00,91.28,91.4,90.24,90.82,1107731.23
2026-03-05 00:00:00,90.81,91.34,90.67,90.72,687281.37
2026-03-05 01:00:00,90.73,91.38,89.7,89.92,1581302.96
2026-03-05 02:00:00,89.92,90.64,89.89,90.13,767492.22
2026-03-05 03:00:00,90.14,90.49,89.55,89.98,714786.16
2026-03-05 04:00:00,89.98,90.69,89.83,90.35,742257.52
2026-03-05 05:00:00,90.36,90.58,89.97,90.12,569241.67
2026-03-05 06:00:00,90.13,90.96,89.63,90.81,831130.89
2026-03-05 07:00:00,90.82,91.25,89.65,90.11,1167653.14
2026-03-05 08:00:00,90.1,90.69,89.61,90.59,1039328.23
2026-03-05 09:00:00,90.6,91.88,90.56,91.13,1519430.58
2026-03-05 10:00:00,91.13,92.91,90.94,92.58,1573899.16
2026-03-05 11:00:00,92.59,92.72,91.58,91.76,952483.6
2026-03-05 12:00:00,91.77,92.15,91.22,91.92,1037401.06
2026-03-05 13:00:00,91.92,92.0,90.34,90.77,1503566.26
2026-03-05 14:00:00,90.76,91.44,89.77,90.96,2208188.65
2026-03-05 15:00:00,90.95,91.09,88.76,89.56,2754457.75
2026-03-05 16:00:00,89.56,89.58,87.85,88.9,2698984.73
2026-03-05 17:00:00,88.91,89.36,87.84,88.07,1451368.41
2026-03-05 18:00:00,88.07,88.86,87.96,88.77,756411.97
2026-03-05 19:00:00,88.76,89.35,88.62,88.68,864469.31
2026-03-05 20:00:00,88.69,89.53,88.5,89.17,1013858.04
2026-03-05 21:00:00,89.16,89.81,88.8,89.07,790031.0
2026-03-05 22:00:00,89.06,89.36,88.81,89.04,523575.96
2026-03-05 23:00:00,89.04,89.16,88.56,88.74,449515.96
2026-03-06 00:00:00,88.74,89.0,88.53,88.82,354849.89
2026-03-06 01:00:00,88.81,89.24,87.95,89.06,1068678.25
2026-03-06 02:00:00,89.07,89.26,88.15,88.31,1193652.36
2026-03-06 03:00:00,88.31,88.65,88.07,88.36,517482.6
2026-03-06 04:00:00,88.35,88.55,87.58,88.11,802151.58
2026-03-06 05:00:00,88.11,88.22,87.45,87.85,771486.15
2026-03-06 06:00:00,87.85,88.39,87.61,88.02,616358.19
2026-03-06 07:00:00,88.02,88.87,87.74,88.64,852627.19
2026-03-06 08:00:00,88.64,88.64,88.13,88.3,532562.58
2026-03-06 09:00:00,88.31,88.44,87.1,87.43,1245861.76
2026-03-06 10:00:00,87.43,87.91,87.34,87.64,584634.1
2026-03-06 11:00:00,87.64,87.95,87.05,87.21,781646.69
2026-03-06 12:00:00,87.21,87.23,85.84,86.43,2421150.74
2026-03-06 13:00:00,86.43,87.06,85.51,85.54,2275628.41
2026-03-06 14:00:00,85.53,85.69,83.89,84.27,3213714.47
2026-03-06 15:00:00,84.26,85.28,84.13,84.57,1981752.18
2026-03-06 16:00:00,84.57,84.95,84.02,84.28,1104736.43
2026-03-06 17:00:00,84.29,84.63,83.52,84.14,1411452.19
2026-03-06 18:00:00,84.14,85.57,84.11,85.2,1438738.66
2026-03-06 19:00:00,85.21,85.83,85.08,85.14,884854.8
2026-03-06 20:00:00,85.14,85.41,84.51,84.96,820683.18
2026-03-06 21:00:00,84.96,85.06,84.39,84.68,585262.43
2026-03-06 22:00:00,84.69,85.01,84.5,84.92,371029.87
2026-03-06 23:00:00,84.93,85.01,84.57,84.64,265010.7
2026-03-07 00:00:00,84.65,85.03,84.46,84.7,404382.62
2026-03-07 01:00:00,84.7,84.84,84.54,84.66,283996.15
2026-03-07 02:00:00,84.66,84.7,84.24,84.61,408606.94
2026-03-07 03:00:00,84.6,85.03,84.3,84.47,431938.46
2026-03-07 04:00:00,84.48,84.51,83.9,84.22,605141.91
2026-03-07 05:00:00,84.22,84.45,84.04,84.28,333091.36
2026-03-07 06:00:00,84.29,84.3,83.82,84.0,403701.58
2026-03-07 07:00:00,84.0,84.48,83.83,84.27,586796.71
2026-03-07 08:00:00,84.27,84.62,84.07,84.31,580375.31
2026-03-07 09:00:00,84.31,84.65,84.15,84.51,313718.58
2026-03-07 10:00:00,84.52,84.71,84.34,84.43,291829.68
2026-03-07 11:00:00,84.42,84.87,84.18,84.61,527542.43
2026-03-07 12:00:00,84.6,84.73,84.22,84.24,378003.98
2026-03-07 13:00:00,84.25,84.48,84.06,84.24,381200.93
2026-03-07 14:00:00,84.24,84.4,83.58,84.16,1055554.47
2026-03-07 15:00:00,84.17,84.19,83.26,83.69,864941.41
2026-03-07 16:00:00,83.69,83.75,83.44,83.53,391702.05
2026-03-07 17:00:00,83.53,84.03,83.49,83.56,484595.8
2026-03-07 18:00:00,83.57,83.58,82.85,83.32,761646.99
2026-03-07 19:00:00,83.33,83.33,82.22,82.47,1259939.38
2026-03-07 20:00:00,82.47,83.07,82.46,82.97,520755.62
2026-03-07 21:00:00,82.98,83.25,82.83,83.22,376427.33
2026-03-07 22:00:00,83.23,83.28,82.6,82.93,361649.74
2026-03-07 23:00:00,82.93,83.21,82.87,83.17,227694.18
2026-03-08 00:00:00,83.17,83.44,82.86,83.02,468974.8
2026-03-08 01:00:00,83.02,83.17,82.64,82.93,421190.47
2026-03-08 02:00:00,82.93,83.04,82.03,82.32,865325.45
2026-03-08 03:00:00,82.32,82.69,82.2,82.27,610558.45
2026-03-08 04:00:00,82.28,82.5,81.67,81.9,678679.94
