entry_time,exit_time,direction,entry_price,exit_price,size_usd,pnl,pnl_pct,exit_reason
2023-06-17 19:00:00,2023-06-18 09:00:00,long,15.65,15.69,9835.335808636524,11.368768356436188,0.2555910543130936,rsi_target
2023-06-20 14:00:00,2023-06-20 17:00:00,long,15.81,16.32,9841.786909088643,303.6984953946514,3.2258064516129017,rsi_target
2023-06-22 16:00:00,2023-06-23 11:00:00,long,16.95,16.59,6974.944807151089,-157.9053434128663,-2.123893805309731,stop_loss
2023-07-01 07:00:00,2023-07-01 16:00:00,long,18.45,18.31,5871.571865315128,-52.77413346478109,-0.7588075880758839,rsi_target
2023-07-14 18:00:00,2023-07-15 06:00:00,long,25.99,28.18,3065.153481959252,253.9883590187071,8.426317814544062,rsi_target
2023-07-15 22:00:00,2023-07-16 05:00:00,long,27.34,27.71,5588.14089603375,67.80250367944058,1.3533284564740344,rsi_target
2023-08-10 02:00:00,2023-08-10 09:00:00,long,24.37,24.4,10240.925991324022,-1.730493772355235,0.1231021748050783,rsi_target
2023-08-23 09:00:00,2023-08-23 17:00:00,short,20.83,21.3,7937.3961744074795,-190.2086677489009,-2.256361017762854,stop_loss
2023-08-30 11:00:00,2023-08-30 14:00:00,long,21.42,20.91,10039.897668719901,-253.10103932477764,-2.380952380952388,stop_loss
2023-09-02 07:00:00,2023-09-02 17:00:00,short,19.58,19.27,9781.776680560763,141.17531708918756,1.5832482124616891,rsi_target
2023-10-18 18:00:00,2023-10-19 02:00:00,long,23.72,23.27,9918.06110930967,-202.04411772796377,-1.897133220910621,stop_loss
2023-10-22 11:00:00,2023-10-22 21:00:00,long,28.34,28.85,5213.747437912169,86.52613090997215,1.7995765702187776,rsi_target
2023-11-12 21:00:00,2023-11-13 06:00:00,long,56.98,58.4,3442.1362231352027,80.96257188592581,2.4921024921024952,rsi_target
2023-11-22 12:00:00,2023-11-22 19:00:00,short,54.93,57.34,6359.69152561693,-287.9288107489499,-4.3874021481886105,stop_loss
2023-11-29 22:00:00,2023-11-30 04:00:00,long,59.16,60.32,5718.382622934951,104.11941379720419,1.9607843137254963,rsi_target
2023-12-03 14:00:00,2023-12-03 22:00:00,long,62.81,63.74,8180.455493775581,109.67176302852452,1.480655946505333,rsi_target
2024-01-27 06:00:00,2024-01-27 15:00:00,long,91.36,92.83,9464.656069544364,139.03762097538532,1.6090192644483352,rsi_target
2024-02-01 17:00:00,2024-02-02 06:00:00,short,97.1,100.18,7613.450972769085,-252.15655531788988,-3.1719876416066044,stop_loss
2024-02-24 15:00:00,2024-02-24 19:00:00,short,101.95,104.05,9668.293835384375,-212.6863426525899,-2.059833251593913,stop_loss
2024-02-25 12:00:00,2024-02-25 19:00:00,long,103.02,103.36,9450.773345814092,17.95958842415792,0.33003300330033336,rsi_target
2024-03-09 20:00:00,2024-03-10 01:00:00,long,145.84,147.02,9236.726601489949,61.80347983524679,0.809105869445973,rsi_target
2024-04-14 10:00:00,2024-04-14 13:00:00,short,142.61,137.75,2431.185829592262,79.44861619940404,3.4078956594909284,rsi_target
2024-04-27 20:00:00,2024-04-28 15:00:00,short,141.2,141.98,7679.540549907558,-53.17374790958662,-0.5524079320113323,rsi_target
2024-05-05 02:00:00,2024-05-05 11:00:00,long,144.48,146.63,8973.327727979567,120.96900379957253,1.4880952380952421,rsi_target
2024-05-21 12:00:00,2024-05-21 19:00:00,long,180.11,175.3,7874.325528795826,-221.31502122533965,-2.670590194880907,stop_loss
2024-06-09 16:00:00,2024-06-10 02:00:00,short,161.13,160.99,9433.642325145756,-5.010550347363948,0.08688636504684812,rsi_target
2024-06-19 08:00:00,2024-06-19 14:00:00,short,138.76,136.36,5867.716072285612,93.27351238410813,1.7296050735081991,rsi_target
2024-06-28 12:00:00,2024-06-28 20:00:00,long,144.49,140.07,7453.913662395818,-238.45332387639996,-3.0590352273513846,stop_loss
2024-07-10 21:00:00,2024-07-11 01:00:00,long,141.18,142.81,8599.925081815076,87.25092428876341,1.1545544694715932,rsi_target
